MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
41281,2011/06/07,2011/06/09,男,6,VECHEL,NORD BRABANT,AN,,2014/03/31,23,255573,0,29947,46800,198224,214590,227815.38,2014/03/26,2.875,31946.625,1,6,32.90909091,135,0,1000,7,1.061630924,8,15,97712,157861,29947,1000,30947,30947,286520,188808,0.652173913,0.347826087,0.382323711,0.617672377,9
47229,2005/04/10,2005/04/10,男,6,广州,广东,CN,69,2014/03/31,94,193169,0,35222,59169,74497,305250,226435.62,2014/03/09,11.75,24146.125,13,23,7.47311828,42,17020,31983,5,0.741803833,43,51,71713,121456,35222,49003,84225,67205,277394,188661,0.542553191,0.457446809,0.371242947,0.628751877,46
28474,2010/04/13,2010/04/13,男,6,,CA,US,41,2014/03/31,20,256337,0,24423,64258,59600,222380,223470.65,2014/01/18,2.5,32042.125,34,74,32.78947368,110,0,0,8,1.004904443,13,7,152816,103521,24423,0,24423,24423,280760,127944,0.35,0.65,0.596150395,0.403845704,9
58472,2010/02/14,2010/03/01,女,5,,,FR,48,2014/03/31,44,204801,0,30638,38510,75816,281837,221892.65,2014/03/15,5.5,25600.125,31,17,15.88372093,66,0,500,10,0.787308444,17,27,75627,129174,30638,500,31138,31138,235939,160312,0.613636364,0.386363636,0.369268855,0.630726262,12
13942,2010/10/14,2010/11/01,男,6,PARIS,FRANCE,FR,39,2014/03/31,62,241719,0,32263,72806,83496,243674,220035.19,2014/03/15,7.75,30214.875,28,17,11.24590164,121,400,500,7,0.902990019,20,42,121764,119955,32263,900,33163,32763,274882,152718,0.677419355,0.322580645,0.503739864,0.496255999,10
45075,2007/02/01,2007/03/23,男,6,湛江,广东,CN,46,2014/03/31,213,217809,0,20801,136769,96568,187917,215419.52,2014/03/29,26.625,27226.125,0,3,3.433962264,37,192969,363819,0,1.146354614,118,95,127819,89990,20801,556788,577589,384620,795398,474610,0.44600939,0.55399061,0.586837152,0.413158257,49
47114,2005/01/15,2005/03/17,男,6,.,北京,CN,47,2014/03/31,74,209810,0,20044,101398,83139,148685,213119.79,2014/03/21,9.25,26226.25,27,11,9.493150685,51,2862,2460,8,1.433364428,40,34,112691,97119,20044,5322,25366,22504,235176,119623,0.459459459,0.540540541,0.537107206,0.462888028,14
54619,2006/01/07,2006/01/08,男,6,广州,广东,CN,62,2014/03/31,101,209362,0,24873,94055,107896,159129,212941.63,2014/03/14,12.625,26170.25,5,18,7.08,29,3552,0,3,1.33816985,49,52,91188,118174,24873,3552,28425,24873,237787,143047,0.514851485,0.485148515,0.435549739,0.564445485,11
12349,2008/06/16,2008/06/27,男,6,深圳,广东,CN,46,2014/03/31,87,199866,0,22439,83780,102594,149254,212644.35,2014/03/21,10.875,24983.25,9,11,8.26744186,36,1776,0,9,1.424714581,42,45,85157,114709,22439,1776,24215,22439,224081,137148,0.517241379,0.482758621,0.426068335,0.573926661,15
35883,2006/04/11,2007/04/18,男,6,乌鲁木齐市,新疆,CN,55,2014/03/31,53,195075,0,16804,96945,69814,144076,211679.96,2014/03/30,6.625,24384.375,29,2,13.46153846,61,0,0,3,1.469224298,27,26,104969,90106,16804,0,16804,16804,211879,106910,0.490566038,0.509433962,0.538092846,0.461902028,7
56091,2004/11/25,2005/02/10,女,6,广州市,广东省,CN,46,2014/03/31,95,197222,0,13133,134702,60366,149053,210894.36,2014/03/24,11.875,24652.75,11,8,7.574468085,80,1776,0,8,1.414895104,66,29,133063,64159,13133,1776,14909,13133,212131,77292,0.305263158,0.694736842,0.674682973,0.325311957,14
2137,2005/04/11,2005/05/03,男,6,广州,广东,CN,69,2014/03/31,131,199716,0,29222,86875,89532,220948,208770.29,2014/03/16,16.375,24964.5,1,16,5.492307692,50,888,5000,14,0.944884271,58,73,105346,94370,29222,5888,35110,34222,234826,128592,0.557251908,0.442748092,0.527476379,0.472518614,20
27708,2006/03/20,2006/03/25,男,6,深圳,广东,CN,45,2014/03/31,95,194326,0,17222,96692,75484,148227,207316.24,2014/03/29,11.875,24290.75,3,3,7.712765957,37,4464,4000,8,1.398640194,56,39,111483,82843,17222,8464,25686,21222,220012,104065,0.410526316,0.589473684,0.57368765,0.426307204,19
28014,2006/12/01,2011/01/07,女,6,Paris,,FR,48,2014/03/31,47,218842,0,30870,63100,69298,285144,206924.9,2014/03/29,5.875,27355.25,1,3,15.80434783,105,0,2000,5,0.725685618,22,25,126430,92412,30870,2000,32870,32870,251712,125282,0.531914894,0.468085106,0.577720101,0.42227533,7
3539,2009/10/13,2009/10/13,男,4,UPLAND,CALIFORNIA,US,53,2014/03/31,25,228851,0,29866,115502,48696,220389,206702.83,2013/12/15,3.125,28606.375,61,108,23.41666667,72,0,0,9,0.937899941,12,13,139431,89420,29866,0,29866,29866,258717,119286,0.52,0.48,0.609262755,0.390732875,10
56149,2005/02/13,2005/03/06,男,4,番禺,广东,CN,39,2014/03/31,24,228227,0,10881,138960,32385,189813,206368.5,2014/02/27,3,28528.375,57,34,27.82608696,192,0,0,6,1.087220053,18,6,184223,44004,10881,0,10881,10881,239108,54885,0.25,0.75,0.807188426,0.192807193,10
44936,2006/03/30,2007/05/02,男,6,乌鲁木齐市,新疆,CN,37,2014/03/31,54,183336,0,15635,101235,70902,141012,206174.34,2013/11/28,6.75,22917,3,125,11.37735849,54,0,7392,5,1.462104927,32,22,105630,77706,15635,7392,23027,23027,206363,100733,0.407407407,0.592592593,0.576152113,0.423842432,11
62751,2007/05/08,2007/08/12,男,6,北京,北京,CN,45,2014/03/31,166,206908,0,36878,71418,112597,229303,204119.18,2014/03/31,20.75,25863.5,7,1,4.381818182,31,828,16266,10,0.890172305,68,98,77817,129091,36878,17094,53972,53144,260880,182235,0.590361446,0.409638554,0.376092872,0.623902295,25
40066,2009/02/27,2009/03/04,男,6,广州,广东,CN,63,2014/03/31,81,185232,0,15316,107153,75102,140819,201255.62,2014/02/27,10.125,23154,12,34,8.5625,46,888,12000,1,1.429179443,41,40,110422,74810,15316,12888,28204,27316,213436,102126,0.49382716,0.50617284,0.596124881,0.403869721,5
18793,2006/04/25,2006/06/02,男,6,.,北京,CN,48,2014/03/31,98,191809,0,16458,88788,85119,137876,201097.86,2014/03/30,12.25,23976.125,1,2,7.505154639,46,888,1280,11,1.458541443,51,47,102886,88923,16458,2168,18626,17738,210435,106661,0.479591837,0.520408163,0.536395391,0.463599395,17
13963,2011/01/18,2011/04/03,男,6,广州,广东,CN,63,2014/03/31,35,230527,0,23524,146039,119384,201141,200850.26,2014/03/29,4.375,28815.875,1,3,21.38235294,84,0,0,13,0.998554546,20,15,128079,102448,23524,0,23524,23524,254051,125972,0.428571429,0.571428571,0.555589777,0.444405886,16
46084,2007/01/04,2007/03/31,男,6,广州,广东,CN,54,2014/03/31,95,190478,0,16249,91729,89721,140803,196699.68,2014/03/29,11.875,23809.75,3,3,7.712765957,47,634,12991,1,1.396985007,44,51,95207,95271,16249,13625,29874,29240,220352,124511,0.536842105,0.463157895,0.499829378,0.500165373,21
58798,2010/05/04,2010/05/14,男,5,广州,广东,CN,51,2014/03/31,46,177032,0,13846,53523,50287,256766,196358.51,2014/03/19,5.75,22129,3,13,15.88888889,54,0,1000,0,0.764737193,26,20,89814,87218,13846,1000,14846,14846,191878,102064,0.434782609,0.565217391,0.507329142,0.492665209,2
56089,2004/12/04,2005/02/27,男,6,广州市,广东省,CN,49,2014/03/31,54,208801,0,21971,99145,84348,160825,194362.54,2014/02/23,6.75,26100.125,1,38,13.05660377,52,0,0,0,1.20853437,25,29,106358,102443,21971,0,21971,21971,230772,124414,0.537037037,0.462962963,0.509372516,0.490622695,4
58693,2010/12/11,2011/08/06,男,6,PARIS,,FR,39,2014/03/31,21,219390,0,18503,54900,63000,185493,190966.44,2014/03/10,2.625,27423.75,11,22,34.9,154,0,0,4,1.029507529,11,10,114042,105348,18503,0,18503,18503,237893,123851,0.476190476,0.523809524,0.51981166,0.480183781,5
28780,2012/07/13,2012/07/13,男,6,广州,广东,CN,47,2014/03/31,110,190726,0,29067,75354,103498,187588,190585.35,2014/03/31,15.71428571,27246.57143,0,1,5.752293578,39,2664,5500,5,1.015978367,37,73,76476,114250,29067,8164,37231,34567,227957,148817,0.663636364,0.336363636,0.400971021,0.599023735,11
27836,2006/07/16,2006/08/18,男,6,.,北京,CN,59,2014/03/31,134,181303,0,16722,106902,72650,140356,190330.2,2014/03/25,16.75,22662.875,2,7,5.428571429,37,2928,0,9,1.356053179,78,56,103937,77366,16722,2928,19650,16722,200953,94088,0.417910448,0.582089552,0.573274721,0.426719763,15
38073,2005/01/26,2005/03/01,男,6,长沙,湖南,CN,76,2014/03/31,107,181982,0,18068,81623,80541,135811,189998.56,2014/03/30,13.375,22747.75,4,2,6.839622642,30,888,5000,2,1.398992423,56,51,86679,95303,18068,5888,23956,23068,205938,118371,0.476635514,0.523364486,0.476302732,0.523691773,9
22629,2010/07/15,2010/07/15,男,5,SUMIDA-KU,TOKYO-TO,JP,49,2014/03/31,70,195866,0,3520,181233,27525,219282,189345.5,2013/06/02,8.75,24483.25,11,304,6.028985507,32,0,0,8,0.863479447,61,9,169460,26406,3520,0,3520,3520,199386,29926,0.128571429,0.871428571,0.865178922,0.134815972,9
12326,2008/05/21,2008/06/12,男,6,.,北京,CN,40,2014/03/31,189,181836,0,38463,74201,104344,235687,189170.24,2014/03/31,23.625,22729.5,2,1,3.872340426,20,18647,23188,5,0.802633323,78,111,74596,107240,38463,41835,80298,61651,262134,168891,0.587301587,0.412698413,0.410235541,0.58975896,56
24222,2012/01/08,2012/02/23,男,6,广州,广东,CN,51,2014/03/31,87,186523,0,20286,80624,91862,132283,188526.69,2014/03/28,10.875,23315.375,3,4,8.418604651,44,0,0,3,1.425177007,38,49,84840,101683,20286,0,20286,20286,206809,121969,0.563218391,0.436781609,0.454847634,0.545147005,7
916,2006/11/18,2007/06/01,男,6,番禺,广东,CN,46,2014/03/31,29,192450,0,34242,59672,56764,211369,187879.56,2014/03/21,3.625,24056.25,1,11,25.67857143,131,0,0,7,0.888869986,10,19,85381,107069,34242,0,34242,34242,226692,141311,0.655172414,0.344827586,0.443650592,0.556344212,10
45008,2007/12/10,2007/12/10,男,5,乌鲁木齐,新疆,CN,54,2014/03/31,48,166322,0,16307,45881,92675,130135,183255.82,2014/03/31,6,20790.25,18,1,15.14893617,61,888,11851,3,1.408197795,17,31,54678,111644,16307,12739,29046,28158,195368,139802,0.645833333,0.354166667,0.328745874,0.671248114,10
11523,2007/07/06,2007/07/17,男,6,深圳,广东,CN,49,2014/03/31,68,175383,0,18450,62056,93021,135374,182670.32,2014/03/31,8.5,21922.875,29,1,10.46268657,39,2664,4700,2,1.349375212,27,41,68362,107021,18450,7364,25814,23150,201197,130171,0.602941176,0.397058824,0.389784701,0.610209597,11
56088,2004/12/03,2005/01/13,男,6,广州,广东,CN,41,2014/03/31,111,184392,0,26563,67261,62413,216560,179409.75,2014/03/28,13.875,23049,2,4,6.590909091,39,31571,29516,19,0.828452854,51,60,107830,76562,26563,61087,87650,56079,272042,132641,0.540540541,0.459459459,0.584783587,0.41521099,100
56573,2007/11/26,2007/12/14,女,6,广州,广东,CN,38,2014/03/31,69,163542,0,16559,65014,91429,131660,178391.87,2014/03/10,8.625,20442.75,51,22,9.676470588,77,7140,12236,6,1.354943567,31,38,68643,94899,16559,19376,35935,28795,199477,123694,0.550724638,0.449275362,0.419724476,0.580269409,39
38883,2008/02/02,2008/02/02,男,6,广州,广东,CN,48,2014/03/31,126,172529,0,28534,83906,87043,204371,177296.41,2014/03/28,15.75,21566.125,14,4,5.704,33,0,33591,2,0.867522349,63,63,83829,88700,28534,33591,62125,62125,234654,150825,0.5,0.5,0.485880716,0.514113488,13
38035,2004/12/28,2005/05/11,男,6,深圳,广东省,CN,42,2014/03/31,55,163139,0,13923,53027,86719,153868,176332.82,2014/03/17,6.875,20392.375,5,15,13.16666667,59,0,500,0,1.146000598,25,30,60667,102472,13923,500,14423,14423,177562,116895,0.545454545,0.454545455,0.371870786,0.628123084,5
11034,2005/01/26,2005/03/09,男,5,北京,.,CN,59,2014/03/31,76,155120,0,23554,53644,85537,214921,176060.56,2014/03/11,9.5,19390,25,21,9.133333333,34,0,11856,5,0.819187329,30,46,56664,98456,23554,11856,35410,35410,190530,133866,0.605263158,0.394736842,0.365289032,0.634704521,13
47143,2005/02/17,2005/02/17,男,6,.,北京,CN,48,2014/03/31,68,165817,0,17121,78610,74530,127335,175774.55,2014/03/17,8.5,20727.125,11,15,10.52238806,60,1018,2545,3,1.380410335,32,36,82795,83022,17121,3563,20684,19666,186501,102688,0.529411765,0.470588235,0.499312499,0.50068147,9
29033,2004/11/19,2004/11/19,男,6,HK,HK,HK,60,2014/03/31,77,169956,0,22373,60120,91155,136121,175326.35,2014/03/31,9.625,21244.5,4,1,9.552631579,55,888,2000,4,1.288018381,29,48,66075,103881,22373,2888,25261,24373,195217,128254,0.623376623,0.376623377,0.388774808,0.611219308,7
16812,2010/06/09,2010/06/27,男,6,PUCHONG,Selangor Darul Ehsan,MY,52,2014/03/31,84,182039,0,22629,69796,118928,186821,175243.9,2014/03/26,10.5,22754.875,0,6,8.734939759,69,0,0,1,0.938031056,33,51,66140,115899,22629,0,22629,22629,204668,138528,0.607142857,0.392857143,0.363326741,0.636667765,2
5241,2011/05/14,2011/05/14,男,6,杭州市,浙江,CN,31,2014/03/31,96,165370,0,27241,78243,65025,204612,173559.99,2014/03/18,12,20671.25,24,14,7.294736842,55,36359,30615,12,0.848239546,54,42,95143,70227,27241,66974,94215,57856,259585,128083,0.4375,0.5625,0.57533062,0.424663333,81
49208,2010/05/28,2010/10/16,男,6,北京,北京,CN,44,2014/03/31,30,188887,0,14977,41590,81104,164001,173391.24,2014/03/24,3.75,23610.875,46,8,23.34482759,128,494,14677,2,1.057257212,9,21,63742,125145,14977,15171,30148,29654,219035,154799,0.7,0.3,0.337459235,0.662535471,16
38241,2005/08/13,2005/08/14,男,6,广州,广东,CN,53,2014/03/31,85,179574,0,14834,101471,66947,121097,172697.19,2014/03/13,10.625,22446.75,12,19,8.333333333,34,888,500,8,1.426106262,47,38,109712,69862,14834,1388,16222,15334,195796,85196,0.447058824,0.552941176,0.610953641,0.389040791,15
38456,2007/11/15,2007/11/16,男,5,TORRANCE,CALIFORNIA,US,39,2014/03/31,32,188209,0,16653,77606,63733,182563,172458.16,2014/01/04,4,23526.125,67,88,18.58064516,127,0,1600,8,0.944650121,19,13,109208,79001,16653,1600,18253,18253,206462,97254,0.40625,0.59375,0.58024547,0.419749216,11
44377,2010/07/10,2010/07/13,男,5,成都,四川,CN,53,2014/03/31,34,183443,0,17859,69213,49135,170121,172446.55,2014/03/13,4.25,22930.375,0,19,21.57575758,90,0,0,10,1.013669976,22,12,98736,84707,17859,0,17859,17859,201302,102566,0.352941176,0.647058824,0.538235102,0.461759447,13
49737,2010/10/30,2010/10/31,男,6,石狮,福建,CN,30,2014/03/31,197,99590,0,22588,113295,41200,275800,171136,2014/03/31,24.625,12448.75,2,1,3.714285714,28,0,12000,0,0.620507614,117,80,61410,38180,22588,12000,34588,34588,134178,72768,0.406091371,0.593908629,0.616621984,0.383367975,3
47919,2008/12/14,2010/05/20,女,6,,VIC,AU,43,2014/03/31,30,198230,0,13817,80383,91978,184194,171024.92,2014/03/25,3.75,24778.75,15,7,24.44827586,92,0,0,3,0.928504294,15,15,88252,109978,13817,0,13817,13817,212047,123795,0.5,0.5,0.445197774,0.554797181,3
23528,2012/08/15,2012/08/15,男,6,LOS ANGELES,CA,US,33,2014/03/31,18,161279,0,21218,19100,46215,209911,170420.67,2014/01/30,2.571428571,23039.85714,0,62,31.35294118,141,0,0,2,0.811871079,6,12,41872,119407,21218,0,21218,21218,182497,140625,0.666666667,0.333333333,0.259623016,0.740370784,2
58088,2009/10/19,2009/10/22,男,6,深圳,广东,CN,55,2014/03/31,64,179686,0,21134,50385,115130,137636,170153.46,2014/03/13,8,22460.75,11,19,11.12698413,47,1776,0,9,1.236256939,22,42,50289,129397,21134,1776,22910,21134,202596,150531,0.65625,0.34375,0.279869996,0.720124439,14
51079,2011/12/21,2011/12/21,男,6,上海,上海,CN,37,2014/03/31,149,141827,0,23972,21251,45091,219108,169696.31,2014/03/28,18.625,17728.375,4,4,4.885135135,28,0,5000,4,0.774487057,68,81,70368,71459,23972,5000,28972,28972,170799,100431,0.543624161,0.456375839,0.496150267,0.503842683,8
19420,2007/11/18,2011/08/23,男,6,长沙市,湖南,CN,47,2014/03/31,61,155772,0,13099,36108,90487,143186,169526.9,2014/03/19,7.625,19471.5,2,13,11.93333333,56,0,2000,3,1.183962818,23,38,42835,112937,13099,2000,15099,15099,170871,128036,0.62295082,0.37704918,0.27498347,0.725010111,5
58753,2010/10/13,2012/06/24,男,5,PARIS,PARIS,FR,28,2014/03/31,36,160297,0,20978,34341,54825,209839,169167.39,2014/02/25,4.5,20037.125,84,36,17.45714286,94,0,500,2,0.806177069,15,21,58794,101503,20978,500,21478,21478,181775,122981,0.583333333,0.416666667,0.366779373,0.633214388,4
13517,2010/08/14,2010/12/29,女,6,PARIS,PARIS,FR,45,2014/03/31,22,187933,0,20527,24615,105814,170406,169120.18,2014/03/10,2.75,23491.625,23,22,32.66666667,133,0,500,0,0.992454374,6,16,50115,137818,20527,500,21027,21027,208960,158845,0.727272727,0.272727273,0.266662765,0.733331914,1
56048,2013/03/15,2013/03/17,男,6,Haarlem,Noord-Holland,NL,46,2014/03/31,23,193780,0,26148,18062,89648,169224,168469.14,2014/03/03,4.6,38756,2,29,16,71,0,900,1,0.995539285,4,19,27516,166264,26148,900,27048,27048,220828,193312,0.826086957,0.173913043,0.141995345,0.857999494,3
50434,2011/06/09,2011/06/22,男,4,LOS ANGELES,,US,44,2014/03/31,16,196213,0,9342,37800,54093,163191,166376.5,2014/03/14,2,24526.625,38,18,45,193,0,500,3,1.019520072,6,10,90726,105487,9342,500,9842,9842,206055,115329,0.625,0.375,0.462382908,0.537611995,4
13869,2010/10/26,2010/10/27,男,6,湛江,广东,CN,42,2014/03/31,102,166991,0,21047,79538,108837,140220,165371.12,2014/03/24,12.75,20873.875,15,8,7.00990099,42,45532,25211,1,1.179368992,41,61,72084,94907,21047,70743,91790,46258,258781,141165,0.598039216,0.401960784,0.431661397,0.568332615,36
47432,2005/10/21,2006/02/21,男,5,广州,广东,CN,47,2014/03/31,81,167849,0,14726,90030,51276,159255,164763.27,2014/03/26,10.125,20981.125,2,6,9.0375,45,24892,16609,20,1.034587737,43,38,114588,53261,14726,41501,56227,31335,224076,84596,0.469135802,0.530864198,0.682680965,0.317313077,64
60658,2012/06/29,2012/06/29,女,6,MANTES LA VILLE,FR,FR,37,2014/03/31,30,148518,0,27319,23000,61855,208687,163278.08,2014/03/26,3.75,18564.75,0,6,21.93103448,130,0,2000,4,0.782406571,7,23,43103,105415,27319,2000,29319,29319,177837,134734,0.766666667,0.233333333,0.29021876,0.709774507,5
9744,2006/07/13,2008/07/11,男,5,.,北京,CN,53,2014/03/31,127,168079,0,27633,64222,95061,170611,163160.9,2014/03/20,15.875,21009.875,27,12,5.492063492,54,365,14406,7,0.956332827,53,74,65475,102604,27633,14771,42404,42039,210483,144643,0.582677165,0.417322835,0.389546644,0.610447406,25
