,PM_US Post
278,22.0
279,19.0
280,23.0
281,25.0
282,25.0
283,31.0
284,25.0
285,22.0
286,22.0
287,15.0
288,16.0
289,11.0
290,11.0
291,12.0
292,11.0
293,12.0
294,27.0
295,28.0
296,34.0
297,33.0
298,36.0
299,26.0
300,49.0
301,52.0
302,47.0
303,47.0
304,39.0
305,59.0
306,76.0
307,96.0
308,95.0
309,68.0
310,65.0
311,75.0
312,257.0
313,174.0
314,164.0
315,161.0
316,137.0
317,92.0
318,64.0
319,87.0
320,87.0
321,84.0
322,95.0
323,79.0
324,75.0
325,79.0
326,86.0
327,72.0
328,89.0
329,94.0
330,69.0
331,49.0
332,33.0
333,27.0
334,20.0
335,36.0
336,37.0
337,30.0
338,18.0
339,21.0
340,13.0
341,23.0
342,26.0
343,27.0
344,30.0
345,28.0
346,26.0
347,26.0
348,31.0
349,35.0
350,36.0
351,37.0
352,64.0
353,83.0
354,91.0
355,90.0
356,102.0
357,94.0
358,87.0
359,141.0
360,211.0
361,242.0
362,271.0
363,249.0
364,200.0
365,147.0
366,114.0
367,102.0
368,108.0
369,135.0
370,120.0
371,148.0
372,127.0
373,128.0
374,140.0
375,148.0
376,150.0
377,154.0
378,197.0
379,235.0
380,261.0
381,269.0
382,266.0
383,263.0
384,241.0
385,205.0
386,160.0
387,150.0
388,148.0
389,208.0
390,209.0
391,183.0
392,161.0
393,182.0
394,230.0
395,170.0
396,172.0
397,154.0
398,166.0
399,177.0
400,191.0
401,212.0
402,250.0
403,268.0
404,317.0
405,291.0
406,313.0
407,282.0
408,282.0
409,303.0
410,349.0
411,407.0
412,361.0
413,234.0
414,149.0
415,147.0
416,184.0
417,161.0
418,137.0
419,146.0
420,144.0
421,154.0
422,173.0
423,188.0
424,203.0
425,233.0
426,408.0
427,435.0
428,403.0
429,360.0
430,402.0
431,358.0
432,383.0
433,332.0
434,274.0
435,256.0
436,302.0
437,330.0
438,367.0
439,297.0
440,331.0
441,323.0
442,339.0
443,301.0
444,310.0
445,305.0
446,313.0
447,336.0
448,357.0
449,485.0
450,426.0
451,403.0
452,374.0
453,333.0
454,343.0
455,364.0
456,389.0
457,368.0
458,267.0
459,71.0
460,81.0
461,51.0
462,49.0
463,44.0
464,45.0
465,35.0
466,29.0
467,27.0
468,29.0
469,16.0
470,23.0
471,28.0
472,22.0
473,11.0
474,25.0
475,16.0
476,20.0
477,20.0
478,18.0
479,18.0
480,17.0
481,17.0
482,17.0
483,15.0
484,19.0
485,16.0
486,18.0
487,18.0
488,18.0
489,26.0
490,26.0
491,25.0
492,24.0
493,15.0
494,17.0
495,15.0
496,21.0
497,40.0
498,51.0
499,45.0
500,61.0
501,72.0
502,38.0
503,35.0
504,29.0
505,26.0
506,18.0
507,15.0
508,15.0
509,22.0
510,21.0
511,19.0
512,22.0
513,25.0
514,22.0
515,26.0
516,32.0
517,30.0
518,32.0
519,30.0
520,32.0
521,37.0
522,49.0
523,47.0
524,39.0
525,35.0
526,48.0
527,49.0
528,24.0
529,23.0
530,20.0
531,19.0
532,16.0
533,22.0
534,24.0
535,24.0
536,41.0
537,23.0
538,19.0
539,15.0
540,19.0
541,17.0
542,17.0
543,22.0
544,22.0
545,22.0
546,22.0
547,22.0
548,22.0
549,22.0
550,22.0
551,22.0
552,22.0
553,22.0
554,22.0
555,22.0
556,22.0
557,22.0
558,22.0
559,22.0
560,22.0
561,22.0
562,22.0
563,22.0
564,22.0
565,22.0
566,22.0
567,22.0
568,22.0
569,22.0
570,22.0
571,22.0
572,22.0
573,22.0
574,22.0
575,22.0
576,22.0
577,22.0
578,22.0
579,22.0
580,22.0
581,22.0
582,22.0
583,22.0
584,22.0
585,22.0
586,22.0
587,22.0
588,22.0
589,22.0
590,22.0
591,22.0
592,22.0
593,22.0
594,22.0
595,22.0
596,22.0
597,22.0
598,22.0
599,22.0
600,22.0
601,22.0
602,22.0
603,22.0
604,22.0
605,22.0
606,22.0
607,22.0
608,22.0
609,22.0
610,22.0
611,88.0
612,85.0
613,90.0
614,127.0
615,144.0
616,203.0
617,199.0
618,231.0
619,274.0
620,340.0
621,298.0
622,268.0
623,299.0
624,300.0
625,240.0
626,213.0
627,171.0
628,153.0
629,153.0
630,140.0
631,147.0
632,158.0
633,153.0
634,154.0
635,143.0
636,90.0
637,55.0
638,52.0
639,41.0
640,29.0
641,37.0
642,49.0
643,56.0
644,38.0
645,37.0
646,28.0
647,20.0
648,22.0
649,27.0
650,34.0
651,27.0
652,32.0
653,28.0
654,28.0
655,18.0
656,17.0
657,16.0
658,18.0
659,16.0
660,12.0
661,13.0
662,23.0
663,21.0
664,13.0
665,14.0
666,23.0
667,16.0
668,25.0
669,20.0
670,25.0
671,19.0
672,24.0
673,25.0
674,20.0
675,24.0
676,17.0
677,10.0
678,11.0
679,16.0
680,20.0
681,13.0
682,12.0
683,12.0
684,12.0
685,12.0
686,31.0
687,36.0
688,42.0
689,52.0
690,26.0
691,24.0
692,25.0
693,43.0
694,47.0
695,61.0
696,66.0
697,65.0
698,70.0
699,36.0
700,37.0
701,22.0
702,24.0
703,29.0
704,35.0
705,35.0
706,33.0
707,32.0
708,25.0
709,16.0
710,26.0
711,32.0
712,36.0
713,37.0
714,45.0
715,71.0
716,67.0
717,69.0
718,94.0
719,85.0
720,35.0
721,26.0
722,24.0
723,20.0
724,16.0
725,18.0
726,19.0
727,22.0
728,17.0
729,18.0
730,11.0
731,11.0
732,16.0
733,18.0
734,17.0
735,19.0
736,26.0
737,24.0
738,54.0
739,71.0
740,129.0
741,145.0
742,101.0
743,65.0
744,70.0
745,67.0
746,76.0
747,76.0
748,68.0
749,73.0
750,73.0
751,64.0
752,53.0
753,72.0
754,78.0
755,72.0
756,56.0
757,54.0
758,40.0
759,49.0
760,63.0
761,66.0
762,64.0
763,63.0
764,65.0
765,64.0
766,64.0
767,62.0
768,56.0
769,87.0
770,72.0
771,104.0
772,97.0
773,96.0
774,86.0
775,85.0
776,92.0
777,55.0
778,36.0
779,27.0
780,25.0
781,28.0
782,32.0
783,35.0
784,43.0
785,70.0
786,83.0
787,66.0
788,70.0
789,80.0
790,88.0
791,69.0
792,71.0
793,62.0
794,73.0
795,107.0
796,94.0
797,121.0
798,132.0
799,161.0
800,120.0
801,72.0
802,58.0
803,34.0
804,14.0
805,17.0
806,15.0
807,23.0
808,34.0
809,96.0
810,87.0
811,87.0
812,95.0
813,105.0
814,114.0
815,103.0
816,99.0
817,102.0
818,104.0
819,78.0
820,33.0
821,29.0
822,27.0
823,27.0
824,26.0
825,33.0
826,29.0
827,31.0
828,28.0
829,28.0
830,61.0
831,64.0
832,80.0
833,91.0
834,79.0
835,48.0
836,59.0
837,82.0
838,63.0
839,48.0
840,54.0
841,42.0
842,47.0
843,87.0
844,105.0
845,90.0
846,101.0
847,126.0
848,114.0
849,103.0
850,114.0
851,100.0
852,72.0
853,68.0
854,72.0
855,71.0
856,80.0
857,70.0
858,63.0
859,67.0
860,62.0
861,69.0
862,58.0
863,51.0
864,51.0
865,54.0
866,45.0
867,47.0
868,85.0
869,78.0
870,68.0
871,64.0
872,65.0
873,80.0
874,74.0
875,93.0
876,77.0
877,67.0
878,84.0
879,77.0
880,83.0
881,82.0
882,100.0
883,189.0
884,99.0
885,71.0
886,43.0
887,64.0
888,68.0
889,69.0
890,65.0
891,71.0
892,77.0
893,81.0
894,88.0
895,90.0
896,92.0
897,88.0
898,80.0
899,100.0
900,105.0
901,118.0
902,125.0
903,141.0
904,152.0
905,164.0
906,147.0
907,162.0
908,157.0
909,156.0
910,160.0
911,178.0
912,187.0
913,181.0
914,185.0
915,197.0
916,180.0
917,172.0
918,166.0
919,136.0
920,133.0
921,140.0
922,159.0
923,169.0
924,170.0
925,184.0
926,163.0
927,140.0
928,144.0
929,166.0
930,196.0
931,227.0
932,210.0
933,233.0
934,258.0
935,247.0
936,230.0
937,273.0
938,253.0
939,254.0
940,241.0
941,229.0
942,199.0
943,193.0
944,207.0
945,176.0
946,91.0
947,58.0
948,39.0
949,50.0
950,51.0
951,49.0
952,54.0
953,153.0
954,181.0
955,181.0
956,182.0
957,156.0
958,27.0
959,16.0
960,22.0
961,21.0
962,6.0
963,8.0
964,8.0
965,8.0
966,10.0
967,9.0
968,20.0
969,14.0
970,16.0
971,14.0
972,10.0
973,7.0
974,8.0
975,12.0
976,15.0
977,8.0
978,11.0
979,18.0
980,16.0
981,11.0
982,10.0
983,11.0
984,10.0
985,10.0
986,12.0
987,12.0
988,10.0
989,10.0
990,9.0
991,9.0
992,11.0
993,12.0
994,12.0
995,12.0
996,21.0
997,18.0
998,13.0
999,18.0
1000,17.0
1001,19.0
1002,22.0
1003,20.0
1004,24.0
1005,19.0
1006,13.0
1007,17.0
1008,22.0
1009,16.0
1010,16.0
1011,11.0
1012,10.0
1013,9.0
1014,11.0
1015,14.0
1016,21.0
1017,26.0
1018,21.0
1019,19.0
1020,13.0
1021,13.0
1022,13.0
1023,13.0
1024,11.0
1025,19.0
1026,22.0
1027,50.0
1028,58.0
1029,60.0
1030,69.0
1031,108.0
1032,51.0
1033,54.0
1034,38.0
1035,27.0
1036,23.0
1037,27.0
1038,28.0
1039,24.0
1040,26.0
1041,23.0
1042,37.0
1043,46.0
1044,49.0
1045,53.0
1046,57.0
1047,51.0
1048,64.0
1049,100.0
1050,113.0
1051,136.0
1052,213.0
1053,259.0
1054,267.0
1055,351.0
1056,980.0
1057,980.0
1058,599.0
1059,39.0
1060,7.0
1061,8.0
1062,7.0
1063,7.0
1064,7.0
1065,16.0
1066,19.0
1067,15.0
1068,21.0
1069,18.0
1070,16.0
1071,15.0
1072,16.0
1073,16.0
1074,21.0
1075,36.0
1076,51.0
1077,67.0
1078,46.0
1079,45.0
1080,27.0
1081,24.0
1082,18.0
1083,15.0
1084,17.0
1085,11.0
1086,16.0
1087,16.0
1088,39.0
1089,25.0
1090,17.0
1091,8.0
1092,11.0
1093,14.0
1094,15.0
1095,15.0
1096,13.0
1097,13.0
1098,26.0
1099,50.0
1100,73.0
1101,96.0
1102,116.0
1103,146.0
1104,113.0
1105,91.0
1106,70.0
1107,65.0
1108,51.0
1109,29.0
1110,30.0
1111,26.0
1112,26.0
1113,24.0
1114,21.0
1115,24.0
1116,39.0
1117,79.0
1118,99.0
1119,118.0
1120,140.0
1121,159.0
1122,161.0
1123,167.0
1124,178.0
1125,192.0
1126,198.0
1127,207.0
1128,237.0
1129,247.0
1130,227.0
1131,176.0
1132,113.0
1133,46.0
1134,18.0
1135,13.0
1136,22.0
1137,15.0
1138,18.0
1139,18.0
1140,12.0
1141,11.0
1142,11.0
1143,12.0
1144,9.0
1145,9.0
1146,27.0
1147,31.0
1148,39.0
1149,49.0
1150,48.0
1151,50.0
1152,38.0
1153,36.0
1154,41.0
1155,80.0
1156,70.0
1157,74.0
1158,77.0
1159,87.0
1160,107.0
1161,54.0
1162,36.0
1163,34.0
1164,19.0
1165,26.0
1166,27.0
1167,27.0
1168,29.0
1169,41.0
1170,47.0
1171,115.0
1172,265.0
1173,236.0
1174,296.0
1175,159.0
1176,119.0
1177,115.0
1178,168.0
1179,177.0
1180,191.0
1181,185.0
1182,157.0
1183,114.0
1184,117.0
1185,112.0
1186,107.0
1187,96.0
1188,99.0
1189,82.0
1190,58.0
1191,40.0
1192,45.0
1193,44.0
1194,49.0
1195,65.0
1196,101.0
1197,146.0
1198,165.0
1199,205.0
1200,191.0
1201,204.0
1202,190.0
1203,174.0
1204,144.0
1205,120.0
1206,122.0
1207,152.0
1208,158.0
1209,178.0
1210,184.0
1211,184.0
1212,185.0
1213,175.0
1214,165.0
1215,150.0
1216,163.0
1217,172.0
1218,184.0
1219,178.0
1220,211.0
1221,213.0
1222,282.0
1223,261.0
1224,215.0
1225,233.0
1226,235.0
1227,214.0
1228,205.0
1229,206.0
1230,220.0
1231,191.0
1232,189.0
1233,109.0
1234,65.0
1235,35.0
1236,35.0
1237,27.0
1238,36.0
1239,30.0
1240,23.0
1241,20.0
1242,30.0
1243,69.0
1244,99.0
1245,117.0
1246,154.0
1247,154.0
1248,136.0
1249,143.0
1250,132.0
1251,100.0
1252,89.0
1253,90.0
1254,90.0
1255,99.0
1256,92.0
1257,80.0
1258,56.0
1259,60.0
1260,72.0
1261,76.0
1262,79.0
1263,84.0
1264,92.0
1265,100.0
1266,95.0
1267,81.0
1268,95.0
1269,87.0
1270,86.0
1271,90.0
1272,111.0
1273,104.0
1274,129.0
1275,117.0
1276,105.0
1277,112.0
1278,130.0
1279,134.0
1280,136.0
1281,142.0
1282,150.0
1283,148.0
1284,160.0
1285,179.0
1286,183.0
1287,191.0
1288,195.0
1289,196.0
1290,218.0
1291,246.0
1292,264.0
1293,274.0
1294,282.0
1295,283.0
1296,242.0
1297,227.0
1298,223.0
1299,227.0
1300,227.0
1301,237.0
1302,243.0
1303,262.0
1304,296.0
1305,301.0
1306,302.0
1307,311.0
1308,307.0
1309,312.0
1310,298.0
1311,292.0
1312,299.0
1313,353.0
1314,368.0
1315,309.0
1316,284.0
1317,244.0
1318,218.0
1319,164.0
1320,153.0
1321,135.0
1322,134.0
1323,139.0
1324,148.0
1325,210.0
1326,218.0
1327,253.0
1328,266.0
1329,241.0
1330,235.0
1331,237.0
1332,248.0
1333,180.0
1334,176.0
1335,165.0
1336,138.0
1337,136.0
1338,136.0
1339,130.0
1340,118.0
1341,56.0
1342,55.0
1343,52.0
1344,46.0
1345,46.0
1346,45.0
1347,51.0
1348,53.0
1349,50.0
1350,46.0
1351,58.0
1352,75.0
1353,72.0
1354,82.0
1355,81.0
1356,91.0
1357,93.0
1358,90.0
1359,79.0
1360,79.0
1361,70.0
1362,70.0
1363,84.0
1364,103.0
1365,95.0
1366,66.0
1367,38.0
1368,35.0
1369,30.0
1370,29.0
1371,31.0
1372,29.0
1373,31.0
1374,34.0
1375,52.0
1376,65.0
1377,89.0
1378,138.0
1379,77.0
1380,88.0
1381,95.0
1382,105.0
1383,101.0
1384,102.0
1385,103.0
1386,105.0
1387,98.0
1388,124.0
1389,112.0
1390,123.0
1391,126.0
1392,114.0
1393,115.0
1394,128.0
1395,138.0
1396,145.0
1397,139.0
1398,119.0
1399,114.0
1400,78.0
1401,80.0
1402,37.0
1403,20.0
1404,20.0
1405,14.0
1406,13.0
1407,16.0
1408,15.0
1409,21.0
1410,72.0
1411,85.0
1412,108.0
1413,128.0
1414,161.0
1415,69.0
1416,59.0
1417,42.0
1418,35.0
1419,35.0
1420,29.0
1421,25.0
1422,23.0
1423,17.0
1424,25.0
1425,39.0
1426,44.0
1427,51.0
1428,61.0
1429,70.0
1430,70.0
1431,65.0
1432,75.0
1433,86.0
1434,91.0
1435,95.0
1436,89.0
1437,96.0
1438,99.0
1439,101.0
1440,101.0
1441,108.0
1442,108.0
1443,115.0
1444,111.0
1445,120.0
1446,125.0
1447,138.0
1448,164.0
1449,169.0
1450,82.0
1451,63.0
1452,37.0
1453,37.0
1454,36.0
1455,30.0
1456,27.0
1457,28.0
1458,34.0
1459,44.0
1460,116.0
1461,139.0
1462,129.0
1463,109.0
1464,97.0
1465,92.0
1466,158.0
1467,178.0
1468,135.0
1469,111.0
1470,114.0
1471,121.0
1472,126.0
1473,133.0
1474,146.0
1475,165.0
1476,202.0
1477,230.0
1478,247.0
1479,236.0
1480,227.0
1481,224.0
1482,187.0
1483,150.0
1484,144.0
1485,123.0
1486,134.0
1487,98.0
1488,101.0
1489,108.0
1490,126.0
1491,125.0
1492,121.0
1493,123.0
1494,126.0
1495,131.0
1496,126.0
1497,156.0
1498,187.0
1499,220.0
1500,237.0
1501,252.0
1502,226.0
1503,231.0
1504,222.0
1505,246.0
1506,261.0
1507,256.0
1508,255.0
1509,263.0
1510,269.0
1511,248.0
1512,89.0
1513,15.0
1514,19.0
1515,15.0
1516,13.0
1517,16.0
1518,19.0
1519,19.0
1520,24.0
1521,24.0
1522,17.0
1523,11.0
1524,17.0
1525,14.0
1526,16.0
1527,16.0
1528,18.0
1529,22.0
1530,30.0
1531,27.0
1532,29.0
1533,20.0
1534,14.0
1535,19.0
1536,16.0
1537,12.0
1538,13.0
1539,15.0
1540,11.0
1541,19.0
1542,16.0
1543,27.0
1544,23.0
1545,29.0
1546,26.0
1547,39.0
1548,52.0
1549,65.0
1550,91.0
1551,103.0
1552,99.0
1553,99.0
1554,103.0
1555,96.0
1556,76.0
1557,69.0
1558,83.0
1559,62.0
1560,51.0
1561,53.0
1562,68.0
1563,71.0
1564,62.0
1565,58.0
1566,69.0
1567,74.0
1568,67.0
1569,57.0
1570,69.0
1571,83.0
1572,92.0
1573,100.0
1574,108.0
1575,132.0
1576,132.0
1577,134.0
1578,128.0
1579,124.0
1580,116.0
1581,114.0
1582,70.0
1583,76.0
1584,68.0
1585,74.0
1586,75.0
1587,63.0
1588,73.0
1589,61.0
1590,63.0
1591,65.0
1592,43.0
1593,29.0
1594,28.0
1595,26.0
1596,29.0
1597,32.0
1598,33.0
1599,43.0
1600,50.0
1601,56.0
1602,63.0
1603,47.0
1604,27.0
1605,20.0
1606,16.0
1607,5.0
1608,7.0
1609,8.0
1610,10.0
1611,13.0
1612,11.0
1613,13.0
1614,20.0
1615,18.0
1616,18.0
1617,14.0
1618,20.0
1619,19.0
1620,20.0
1621,20.0
1622,23.0
1623,21.0
1624,14.0
1625,16.0
1626,16.0
1627,26.0
1628,22.0
1629,27.0
1630,51.0
1631,46.0
1632,51.0
1633,48.0
1634,61.0
1635,58.0
1636,85.0
1637,84.0
1638,87.0
1639,111.0
1640,105.0
1641,70.0
1642,53.0
1643,48.0
1644,44.0
1645,33.0
1646,37.0
1647,40.0
1648,34.0
1649,32.0
1650,33.0
1651,51.0
1652,62.0
1653,68.0
1654,89.0
1655,101.0
1656,106.0
1657,144.0
1658,142.0
1659,140.0
1660,158.0
1661,135.0
1662,145.0
1663,161.0
1664,183.0
1665,199.0
1666,224.0
1667,193.0
1668,167.0
1669,162.0
1670,163.0
1671,163.0
1672,154.0
1673,189.0
1674,210.0
1675,222.0
1676,216.0
1677,219.0
1678,223.0
1679,213.0
1680,314.0
1681,59.0
1682,38.0
1683,29.0
1684,27.0
1685,20.0
1686,18.0
1687,19.0
1688,14.0
1689,19.0
1690,23.0
1691,14.0
1692,12.0
1693,12.0
1694,16.0
1695,16.0
1696,17.0
1697,19.0
1698,32.0
1699,53.0
1700,54.0
1701,52.0
1702,91.0
1703,79.0
1704,71.0
1705,47.0
1706,40.0
1707,41.0
1708,41.0
1709,38.0
1710,50.0
1711,69.0
1712,82.0
1713,79.0
1714,76.0
1715,78.0
1716,71.0
1717,73.0
1718,68.0
1719,58.0
1720,61.0
1721,58.0
1722,75.0
1723,78.0
1724,64.0
1725,53.0
1726,41.0
1727,37.0
1728,44.0
1729,65.0
1730,68.0
1731,75.0
1732,80.0
1733,80.0
1734,105.0
1735,86.0
1736,93.0
1737,90.0
1738,73.0
1739,68.0
1740,68.0
1741,78.0
1742,83.0
1743,86.0
1744,94.0
1745,112.0
1746,108.0
1747,116.0
1748,105.0
1749,112.0
1750,87.0
1751,103.0
1752,129.0
1753,153.0
1754,220.0
1755,175.0
1756,132.0
1757,69.0
1758,60.0
1759,50.0
1760,43.0
1761,36.0
1762,26.0
1763,21.0
1764,27.0
1765,21.0
1766,22.0
1767,22.0
1768,17.0
1769,25.0
1770,52.0
1771,30.0
1772,33.0
1773,38.0
1774,44.0
1775,61.0
1776,63.0
1777,72.0
1778,67.0
1779,55.0
1780,50.0
1781,55.0
1782,71.0
1783,79.0
1784,72.0
1785,73.0
1786,73.0
1787,53.0
1788,56.0
1789,60.0
1790,64.0
1791,53.0
1792,45.0
1793,54.0
1794,62.0
1795,63.0
1796,67.0
1797,85.0
1798,89.0
1799,76.0
1800,41.0
1801,83.0
1802,85.0
1803,41.0
1804,18.0
1805,27.0
1806,33.0
1807,34.0
1808,28.0
1809,27.0
1810,23.0
1811,22.0
1812,26.0
1813,20.0
1814,21.0
1815,24.0
1816,23.0
1817,28.0
1818,39.0
1819,51.0
1820,67.0
1821,66.0
1822,76.0
1823,71.0
1824,89.0
1825,96.0
1826,91.0
1827,86.0
1828,83.0
1829,80.0
1830,90.0
1831,110.0
1832,135.0
1833,144.0
1834,166.0
1835,179.0
1836,201.0
1837,227.0
1838,219.0
1839,208.0
1840,202.0
1841,205.0
1842,206.0
1843,209.0
1844,226.0
1845,222.0
1846,239.0
1847,241.0
1848,249.0
1849,248.0
1850,247.0
1851,228.0
1852,225.0
1853,222.0
1854,221.0
1855,214.0
1856,217.0
1857,231.0
1858,249.0
1859,245.0
1860,250.0
1861,232.0
1862,243.0
1863,239.0
1864,234.0
1865,240.0
1866,224.0
1867,206.0
1868,217.0
1869,180.0
1870,180.0
1871,183.0
1872,180.0
1873,216.0
1874,215.0
1875,700.0
1876,700.0
1877,700.0
1878,473.0
1879,201.0
1880,274.0
1881,381.0
1882,343.0
1883,156.0
1884,64.0
1885,51.0
1886,47.0
1887,37.0
1888,26.0
1889,22.0
1890,19.0
1891,23.0
1892,21.0
1893,27.0
1894,41.0
1895,46.0
1896,55.0
1897,46.0
1898,60.0
1899,47.0
1900,50.0
1901,51.0
1902,41.0
1903,48.0
1904,50.0
1905,55.0
1906,56.0
1907,52.0
1908,49.0
1909,53.0
1910,73.0
1911,82.0
1912,90.0
1913,106.0
1914,113.0
1915,121.0
1916,116.0
1917,111.0
1918,83.0
1919,85.0
1920,87.0
1921,90.0
1922,90.0
1923,100.0
1924,95.0
1925,96.0
1926,102.0
1927,112.0
1928,315.0
1929,784.0
1930,761.0
1931,204.0
1932,122.0
1933,158.0
1934,226.0
1935,128.0
1936,49.0
1937,47.0
1938,27.0
1939,25.0
1940,27.0
1941,18.0
1942,18.0
1943,28.0
1944,16.0
1945,24.0
1946,24.0
1947,25.0
1948,46.0
1949,54.0
1950,60.0
1951,86.0
1952,58.0
1953,63.0
1954,59.0
1955,59.0
1956,54.0
1957,53.0
1958,55.0
1959,60.0
1960,55.0
1961,64.0
1962,64.0
1963,55.0
1964,57.0
1965,63.0
1966,69.0
1967,70.0
1968,72.0
1969,71.0
1970,73.0
1971,71.0
1972,70.0
1973,68.0
1974,63.0
1975,67.0
1976,76.0
1977,65.0
1978,44.0
1979,36.0
1980,29.0
1981,20.0
1982,53.0
1983,92.0
1984,134.0
1985,97.0
1986,64.0
1987,52.0
1988,63.0
1989,36.0
1990,22.0
1991,48.0
1992,52.0
1993,43.0
1994,44.0
1995,51.0
1996,69.0
1997,54.0
1998,10.0
1999,12.0
2000,10.0
2001,9.0
2002,12.0
2003,12.0
2004,18.0
2005,16.0
2006,20.0
2007,20.0
2008,18.0
2009,30.0
2010,27.0
2011,29.0
2012,33.0
2013,34.0
2014,59.0
2015,63.0
2016,67.0
2017,62.0
2018,72.0
2019,48.0
2020,70.0
2021,57.0
2022,61.0
2023,38.0
2024,44.0
2025,37.0
2026,43.0
2027,50.0
2028,64.0
2029,64.0
2030,72.0
2031,70.0
2032,65.0
2033,72.0
2034,84.0
2035,85.0
2036,98.0
2037,142.0
2038,97.0
2039,106.0
2040,89.0
2041,61.0
2042,46.0
2043,127.0
2044,134.0
2045,99.0
2046,85.0
2047,75.0
2048,79.0
2049,81.0
2050,74.0
2051,62.0
2052,71.0
2053,58.0
2054,48.0
2055,50.0
2056,54.0
2057,61.0
2058,59.0
2059,62.0
2060,54.0
2061,57.0
2062,44.0
2063,41.0
2064,48.0
2065,44.0
2066,56.0
2067,59.0
2068,67.0
2069,68.0
2070,99.0
2071,88.0
2072,74.0
2073,86.0
2074,93.0
2075,96.0
2076,120.0
2077,99.0
2078,100.0
2079,63.0
2080,57.0
2081,46.0
2082,48.0
2083,60.0
2084,57.0
2085,72.0
2086,82.0
2087,92.0
2088,100.0
2089,117.0
2090,129.0
2091,132.0
2092,142.0
2093,147.0
2094,169.0
2095,208.0
2096,198.0
2097,203.0
2098,218.0
2099,220.0
2100,222.0
2101,237.0
2102,245.0
2103,260.0
2104,259.0
2105,275.0
2106,280.0
2107,296.0
2108,366.0
2109,317.0
2110,297.0
2111,288.0
2112,288.0
2113,254.0
2114,254.0
2115,248.0
2116,271.0
2117,271.0
2118,271.0
2119,271.0
2120,271.0
2121,271.0
2122,271.0
2123,271.0
2124,195.0
2125,195.0
2126,195.0
2127,195.0
2128,195.0
2129,195.0
2130,195.0
2131,195.0
2132,195.0
2133,195.0
2134,195.0
2135,195.0
2136,195.0
2137,195.0
2138,195.0
2139,195.0
2140,195.0
2141,195.0
2142,124.0
2143,129.0
2144,129.0
2145,129.0
2146,129.0
2147,129.0
2148,129.0
2149,129.0
2150,129.0
2151,129.0
2152,200.0
2153,187.0
2154,149.0
2155,113.0
2156,85.0
2157,71.0
2158,42.0
2159,31.0
